X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type
126.635093,37.645535,경기,Charcoal,김포 양촌,2-4(나)-8 ,고려문화재연구원,1880,60,방형
126.683544,37.65817,경기,Charcoal,김포 운양동,2-9-31,고려문화재연구원,1840,25,방형
126.639648,37.64342,경기,Charcoal,김포 한강 신도시,1-3(다)-1 ,고려문화재연구원,1770,60,방형
126.639648,37.64342,경기,Charcoal,김포 한강 신도시,1-3(나)-4 ,고려문화재연구원,1790,60,방형
126.639648,37.64342,경기,Charcoal,김포 한강 신도시,1-3(다)-2 ,고려문화재연구원,1850,60,방형
127.363092,37.643669,경기,Charcoal,남양주 금남리,원삼국-4,한강문화재연구원,1900,22,장방형
127.363092,37.643669,경기,Charcoal,남양주 금남리,원삼국-2,한강문화재연구원,1825,22,장방형
127.363092,37.643669,경기,Charcoal,남양주 금남리,원삼국-6,한강문화재연구원,1860,16,방형
127.363092,37.643669,경기,Charcoal,남양주 금남리,원삼국-8,한강문화재연구원,1920,30,呂·凸자형
127.125865,37.648547,경기,Charcoal,남양주 별내(덕송리),7,한백문화재연구원,1090,40,신라
127.125865,37.648547,경기,Charcoal,남양주 별내(덕송리),8,한백문화재연구원,1150,40,신라
127.125865,37.648547,경기,Charcoal,남양주 별내(덕송리),6,한백문화재연구원,1200,40,신라
127.125865,37.648547,경기,Charcoal,남양주 별내(덕송리),2,한백문화재연구원,1260,40,신라
127.125865,37.648547,경기,Charcoal,남양주 별내(덕송리),1,한백문화재연구원,1400,40,신라
127.125865,37.648547,경기,Charcoal,남양주 별내(화접리),7-3-12-1,한백문화재연구원,1460,40,방형
127.125865,37.648547,경기,Charcoal,남양주 별내(화접리),7-3-1 ,한백문화재연구원,1510,40,방형
127.125865,37.648547,경기,Charcoal,남양주 별내(화접리),7-3-2 ,한백문화재연구원,1680,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,80,중앙문화재연구원,1600,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,73,중앙문화재연구원,1650,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,75,중앙문화재연구원,1670,50,방형
